,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
36,P-DMHs,,C9674E,11,False,734881840,17,732,3,16267,shell of P-DMH,,,12,16265,shell of P-DMH,10632,12,/15564/15565/15566/15567/15738/16211/16247/16259/16261/16264/16265/16267/,1985557744,8390
37,1Cb,,F070FF,10,False,734881840,17,1334,3,16830,lobule 1 of cerebellar vermis,,,12,16829,lobule 1 of cerebellar vermis,11234,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16830/,3369118182,8390
38,OnufL,,D4CCC0,8,False,734881840,17,2473,3,17723,lateral (urethral) part of Onuf's nucleus,,,12,17721,lateral (urethral) part of Onuf's nucleus,12373,12,/15564/15565/17651/17692/17710/17712/17715/17721/17723/,2569698525,8390
39,CA2slm,,FF5974,13,False,734881840,17,593,3,16137,"Field CA2, stratum lacunosum-moleculare",,,12,16136,Field CA2 stratum lacunosum-moleculare,10493,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/16126/16130/16136/16137/,1673796834,8390
40,ll,,CCCCCC,2,False,734881840,17,2531,3,17774,lateral lemniscus,,,12,17735,lateral lemniscus,12431,12,/15564/17735/17774/,2249670554,8390
41,GC,,B0754D,11,False,734881840,17,88,3,15650,ganglion cells,,,12,15649,ganglion cells,9988,12,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15650/,777260037,8390
42,OPC,,FFF189,12,False,734881840,17,890,3,16417,oval paracentral nucleus,,,12,16415,oval paracentral nucleus,10790,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16415/16417/,2531927429,8390
43,5TT,,F29EFF,10,False,734881840,17,1605,3,17049,temporotympanic muscle trigeminal motor cell group,,,12,17045,temporotympanic muscle trigeminal motor cell group,11505,12,/15564/15565/16808/16809/17023/17025/17042/17044/111220672/17045/17049/,521097399,8390
44,dml,,CCCCCC,2,False,734881840,17,2534,3,17777,decussation of medial lemniscus,,,12,17735,decussation of medial lemniscus,12434,12,/15564/17735/17777/,3605000303,8390
45,VPM,,FFF189,12,False,734881840,17,902,3,16429,ventral posteromedial nucleus,,,12,16423,ventral posteromedial nucleus,10802,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16423/16429/,1510310568,8390
46,IPCDL,,D654E6,10,False,734881840,17,1553,3,17020,caudodorsolateral interpeduncular nucleus,,,12,17018,caudodorsolateral interpeduncular nucleus,11453,12,/15564/15565/16808/16809/16915/16967/16994/16996/17013/17018/17020/,2874769595,8390
47,T-DMHc,,975C34,11,False,734881840,17,133,3,15695,core of T-DMH,,,12,15694,core of T-DMH,10033,12,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15693/15694/15695/,3329468462,8390
48,PaC,,E4866F,11,False,734881840,17,684,3,16219,"paraventricular nucleus, cap part",,,12,16217,paraventricular nucleus cap part,10584,12,/15564/15565/15566/15567/15738/16211/16212/16213/16215/16216/16217/16219/,87041334,8390
49,5Ma,,F29EFF,10,False,734881840,17,1603,3,17047,masseter muscle trigeminal motor cell group,,,12,17045,masseter muscle trigeminal motor cell group,11503,12,/15564/15565/16808/16809/17023/17025/17042/17044/111220672/17045/17047/,1084449519,8390
50,MPOL,,B46632,12,False,734881840,17,43,3,15605,lateral part of MPO,,,12,15604,lateral part of MPO,9943,12,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15605/,2894972437,8390
51,lot,,CCCCCC,2,False,734881840,17,2530,3,17773,lateral olfactory tract,,,12,17735,lateral olfactory tract,12430,12,/15564/17735/17773/,4275693544,8390
52,IML,,D4CCC0,8,False,734881840,17,2456,3,17706,intermediolateral nucleus (lateral horn),,,12,17704,intermediolateral nucleus (lateral horn),12356,12,/15564/15565/17651/17692/17693/17695/17698/17704/17706/,2895671396,8390
53,alvCA,,CCCCCC,2,False,734881840,17,2507,3,16129,alveus layer of CA,,,12,17735,alveus layer of CA,12407,12,/15564/17735/16129/,1050979867,8390
54,2Cb,,F070FF,10,False,734881840,17,1335,3,16831,lobule 2 of cerebellar vermis,,,12,16829,lobule 2 of cerebellar vermis,11235,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16831/,4054320294,8390
55,mlf,,CCCCCC,2,False,734881840,17,2535,3,17778,medial longitudinal fascicle (tract),,,12,17735,medial longitudinal fascicle (tract),12435,12,/15564/17735/17778/,1690015519,8390
56,dsoc,,CCCCCC,2,False,734881840,17,2520,3,17763,dorsal (alar) supraoptic commissure,,,12,17735,dorsal (alar) supraoptic commissure,12420,12,/15564/17735/17763/,2289878377,8390
57,BSTLi,,F5853A,13,False,734881840,17,242,3,15802,"nucleus of the stria terminalis, lateral division, intermediate part",,,12,15801,nucleus of the stria terminalis lateral division intermediate part,10142,12,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15800/15801/15802/,372700463,8390
58,7n,,CCCCCC,2,False,734881840,17,2497,3,17742,facial nerve root,,,12,17735,facial nerve root,12397,12,/15564/17735/17742/,2502028197,8390
59,fx,,CCCCCC,2,False,734881840,17,2524,3,17767,fornix tract,,,12,17735,fornix tract,12424,12,/15564/17735/17767/,2479702094,8390
60,Crus2,,F284FF,10,False,734881840,17,1460,3,16942,crus 2 of the ansiform lobule,,,12,16939,crus 2 of the ansiform lobule,11360,12,/15564/15565/16808/16809/16915/16919/16920/16924/16938/16939/16942/,2226845787,8390
61,AV,,FFF189,12,False,734881840,17,894,3,16421,anteroventral nucleus,,,12,16419,anteroventral nucleus,10794,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16419/16421/,3223878107,8390
62,Lat,,F284FF,10,False,734881840,17,1451,3,16933,lateral (dentate) cerebellar nucleus,,,12,16928,lateral (dentate) cerebellar nucleus,11351,12,/15564/15565/16808/16809/16915/16919/16920/16924/16927/16928/16933/,6859520,8390
63,LDCom,,D4CCC0,8,False,734881840,17,2457,3,17707,laterodorsal commissural nucleus,,,12,17704,laterodorsal commissural nucleus,12357,12,/15564/15565/17651/17692/17693/17695/17698/17704/17707/,1311532362,8390
64,4d,,CCCCCC,2,False,734881840,17,2493,3,17738,trochlear decussation (at isthmic roofplate),,,12,17735,trochlear decussation (at isthmic roofplate),12393,12,/15564/17735/17738/,858825649,8390
65,PkV,,D332E6,10,False,734881840,17,1345,3,16841,Purkinje cell layer of CbVCx,,,12,16829,Purkinje cell layer of CbVCx,11245,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16841/,1007529405,8390
66,MGM,,FFF189,12,False,734881840,17,938,3,16465,medial subnucleus of MG,,,12,16462,medial subnucleus of MG,10838,12,/15564/15565/15566/16308/16375/16376/16382/16395/16453/16455/16461/16462/16465/,1952773172,8390
67,tc,,CCCCCC,2,False,734881840,17,2556,3,17799,tectal commissure,,,12,17735,tectal commissure,12456,12,/15564/17735/17799/,3339153535,8390
68,dc,,CCCCCC,2,False,734881840,17,2516,3,17759,dorsal column tracts,,,12,17735,dorsal column tracts,12416,12,/15564/17735/17759/,3161393649,8390
69,BSTMpl,,EA9E4E,13,False,734881840,17,271,3,15826,posterolateral part of BSTMC,,,12,15823,posterolateral part of BSTMC,10171,12,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/15826/,1594052498,8390
70,MGV,,FFF189,12,False,734881840,17,936,3,16463,ventral subnucleus of MG,,,12,16462,ventral subnucleus of MG,10836,12,/15564/15565/15566/16308/16375/16376/16382/16395/16453/16455/16461/16462/16463/,2878069029,8390
71,CA2so,,FF5974,13,False,734881840,17,594,3,16138,"Field CA2, stratum oriens",,,12,16136,Field CA2 stratum oriens,10494,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/16126/16130/16136/16138/,4078562584,8390
72,st,,CCCCCC,2,False,734881840,17,2555,3,17798,stria terminalis tract,,,12,17735,stria terminalis tract,12455,12,/15564/17735/17798/,1440790204,8390
73,cbc,,CCCCCC,2,False,734881840,17,2511,3,17754,cerebellar commissure,,,12,17735,cerebellar commissure,12411,12,/15564/17735/17754/,137458081,8390
74,dpy,,CCCCCC,2,False,734881840,17,2517,3,17760,pyramidal tract decussation,,,12,17735,pyramidal tract decussation,12417,12,/15564/17735/17760/,1634817136,8390
75,tgc,,CCCCCC,2,False,734881840,17,2557,3,17800,tectal gray commissure,,,12,17735,tectal gray commissure,12457,12,/15564/17735/17800/,2780664303,8390
76,OC-6b,,F32F4F,13,False,734881840,17,495,3,16043,sublayer 6b of OCx,,,12,16041,sublayer 6b of OCx,10395,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16030/16032/16035/16041/16043/,2841809881,8390
77,scp,,CCCCCC,2,False,734881840,17,2550,3,17793,superior cerebellar peduncle,,,12,17735,superior cerebellar peduncle,12450,12,/15564/17735/17793/,2741079949,8390
78,PaS-6b,,FF5974,13,False,734881840,17,654,3,111220574,layer 6b of PaS,,,12,16197,layer 6b of PaS,10554,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16186/16188/16191/16197/111220574/,147572591,8390
79,PC-6a,,F32F4F,13,False,734881840,17,480,3,16028,sublayer 6a of PCx,,,12,16027,sublayer 6a of PCx,10380,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16016/16018/16021/16027/16028/,815231095,8390
80,db,,CCCCCC,2,False,734881840,17,2515,3,17758,diagonal band tract,,,12,17735,diagonal band tract,12415,12,/15564/17735/17758/,3766028876,8390
81,ml,,CCCCCC,2,False,734881840,17,2533,3,17776,medial lemniscus,,,12,17735,medial lemniscus,12433,12,/15564/17735/17776/,3519337805,8390
82,dsc,,CCCCCC,2,False,734881840,17,2518,3,17761,dorsal spinocerebellar tract,,,12,17735,dorsal spinocerebellar tract,12418,12,/15564/17735/17761/,3857282012,8390
83,CA3slu,,FF5974,13,False,734881840,17,600,3,16144,"Field CA3, stratum lucidum",,,12,16141,Field CA3 stratum lucidum,10500,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/16126/16130/16141/16144/,41818108,8390
84,PaD,,E4866F,11,False,734881840,17,683,3,16218,"paraventricular nucleus, dorsal part",,,12,16217,paraventricular nucleus dorsal part,10583,12,/15564/15565/15566/15567/15738/16211/16212/16213/16215/16216/16217/16218/,1624431091,8390
85,Sim,,F284FF,10,False,734881840,17,1458,3,16940,simple lobule,,,12,16939,simple lobule,11358,12,/15564/15565/16808/16809/16915/16919/16920/16924/16938/16939/16940/,1854451959,8390
86,DTgC,,D654E6,10,False,734881840,17,1534,3,17001,core part of DTg,,,12,17000,core part of DTg,11434,12,/15564/15565/16808/16809/16915/16967/16994/16996/16997/17000/17001/,653105392,8390
87,IMM,,D4CCC0,8,False,734881840,17,2455,3,17705,intermediomedial nucleus,,,12,17704,intermediomedial nucleus,12355,12,/15564/15565/17651/17692/17693/17695/17698/17704/17705/,2628227938,8390
88,IPDM,,D654E6,10,False,734881840,17,1548,3,17015,dorsomedial interpeduncular nucleus,,,12,17014,dorsomedial interpeduncular nucleus,11448,12,/15564/15565/16808/16809/16915/16967/16994/16996/17013/17014/17015/,1602673368,8390
89,och,,CCCCCC,2,False,734881840,17,2540,3,17783,optic chiasm,,,12,17735,optic chiasm,12440,12,/15564/17735/17783/,1585611786,8390
90,SPrCb,,D4CCC0,8,False,734881840,17,2451,3,17701,sacral precerebellar nucleus,,,12,17699,sacral precerebellar nucleus,12351,12,/15564/15565/17651/17692/17693/17695/17698/17699/17701/,800743929,8390
91,AM,,FFF189,12,False,734881840,17,895,3,16422,anteromedial nucleus,,,12,16419,anteromedial nucleus,10795,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16419/16422/,517105915,8390
92,CbV-EGL,,EA37FF,7,False,734881840,17,1320,3,16816,external granular layer of CbV,,,12,16814,external granular layer of CbV,11220,12,/15564/15565/16808/16809/16810/16813/16814/16816/,3973856981,8390
93,mped,,CCCCCC,2,False,734881840,17,2537,3,17780,mammillary peduncle,,,12,17735,mammillary peduncle,12437,12,/15564/17735/17780/,4130265730,8390
94,BSTMa,,F5853A,13,False,734881840,17,231,3,15791,"nucleus of the stria terminalis, medial division, anterior part",,,12,15789,nucleus of the stria terminalis medial division anterior part,10131,12,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15785/15787/15788/15789/15791/,3978808240,8390
95,CA1sr,,FF5974,13,False,734881840,17,590,3,16134,"Field CA1, stratum radiatum",,,12,16131,Field CA1 stratum radiatum,10490,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/16126/16130/16131/16134/,58650859,8390
96,LMC,,D4CCC0,8,False,734881840,17,2469,3,17719,lateral motoneuron columns,,,12,17717,lateral motoneuron columns,12369,12,/15564/15565/17651/17692/17710/17712/17715/17717/17719/,180388573,8390
97,AD,,FFF189,12,False,734881840,17,893,3,16420,anterodorsal nucleus,,,12,16419,anterodorsal nucleus,10793,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16419/16420/,631711182,8390
98,opt,,CCCCCC,2,False,734881840,17,2542,3,17785,optic tract,,,12,17735,optic tract,12442,12,/15564/17735/17785/,473050819,8390
99,TuStr2,,EA9E4E,13,False,734881840,17,309,3,15864,corticoid layer of TuStr,,,12,15862,corticoid layer of TuStr,10209,12,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15864/,2771985603,8390
100,11n,,CCCCCC,2,False,734881840,17,2504,3,17749,accessory nerve root,,,12,17735,accessory nerve root,12404,12,/15564/17735/17749/,3475277585,8390
101,alvS,,CCCCCC,2,False,734881840,17,2508,3,16168,alveus layer of S,,,12,17735,alveus layer of S,12408,12,/15564/17735/16168/,3624181988,8390
102,SCHs,,B0754D,10,False,734881840,17,102,3,15664,shell of SCH,,,12,15663,shell of SCH,10002,12,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15663/15664/,2235369003,8390
103,r2CGB,,D673E6,10,False,734881840,17,1628,3,17071,r2 part of CG beta nucleus,,,12,17070,r2 part of CG beta nucleus,11528,12,/15564/15565/16808/16809/17023/17053/17066/17068/17069/17070/17071/,702059488,8390
104,CMC,,D4CCC0,8,False,734881840,17,2470,3,17720,central motoneuron columns,,,12,17717,central motoneuron columns,12370,12,/15564/15565/17651/17692/17710/17712/17715/17717/17720/,2462809512,8390
105,7Cb,,F070FF,10,False,734881840,17,1340,3,16836,lobule 7 of cerebellar vermis,,,12,16829,lobule 7 of cerebellar vermis,11240,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16836/,3122787174,8390
106,tsp,,CCCCCC,2,False,734881840,17,2559,3,17802,tectospinal tract,,,12,17735,tectospinal tract,12459,12,/15564/17735/17802/,3403653512,8390
107,vsoc,,CCCCCC,2,False,734881840,17,2563,3,17806,ventral (basal) supraoptic commissure,,,12,17735,ventral (basal) supraoptic commissure,12463,12,/15564/17735/17806/,458728149,8390
108,5SpL,,EBE3D5,8,False,734881840,17,2433,3,17685,lateral (superficial) part of 5Sp,,,12,17683,lateral (superficial) part of 5Sp,12333,12,/15564/15565/17651/17653/17677/17679/17682/17683/17685/,1551959428,8390
109,BSTLd,,EA9E4E,13,False,734881840,17,286,3,15841,dorsal part of BSTLC,,,12,15838,dorsal part of BSTLC,10186,12,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/15841/,4144205194,8390
110,DTgS,,D654E6,10,False,734881840,17,1535,3,17002,shell part of DTg,,,12,17000,shell part of DTg,11435,12,/15564/15565/16808/16809/16915/16967/16994/16996/16997/17000/17002/,603947584,8390
111,zli,,CCCCCC,2,False,734881840,17,2565,3,17808,zona limitans interthalamica (external medullary lamina),,,12,17735,zona limitans interthalamica (external medullary lamina),12465,12,/15564/17735/17808/,2824672878,8390
112,asc5,,CCCCCC,2,False,734881840,17,2509,3,17752,ascending trigeminal tract,,,12,17735,ascending trigeminal tract,12409,12,/15564/17735/17752/,771339287,8390
113,CC-6b,,F32F4F,13,False,734881840,17,537,3,16085,sublayer 6b of CCx,,,12,16083,sublayer 6b of CCx,10437,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16072/16074/16077/16083/16085/,2692246205,8390
114,12n,,CCCCCC,2,False,734881840,17,2505,3,17750,hypoglossal nerve root,,,12,17735,hypoglossal nerve root,12405,12,/15564/17735/17750/,2666334565,8390
115,BSTMv,,F5853A,13,False,734881840,17,230,3,15790,"nucleus of the stria terminalis, medial division, ventral part",,,12,15789,nucleus of the stria terminalis medial division ventral part,10130,12,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15785/15787/15788/15789/15790/,3917063894,8390
116,FC-6b,,F32F4F,13,False,734881840,17,467,3,16015,sublayer 6b of FCx,,,12,16013,sublayer 6b of FCx,10367,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16002/16004/16007/16013/16015/,2796791894,8390
117,CbVLip,,EA37FF,7,False,734881840,17,1319,3,16815,rhombic lip of cerebellar vermis,,,12,16814,rhombic lip of cerebellar vermis,11219,12,/15564/15565/16808/16809/16810/16813/16814/16815/,1252445812,8390
118,py,,CCCCCC,2,False,734881840,17,2546,3,17789,pyramid (bulbar bulge of the corticospinal tract),,,12,17735,pyramid (bulbar bulge of the corticospinal tract),12446,12,/15564/17735/17789/,13904979,8390
119,5Cb,,F070FF,10,False,734881840,17,1338,3,16834,lobule 5 of cerebellar vermis,,,12,16829,lobule 5 of cerebellar vermis,11238,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16834/,2490448614,8390
120,6SpL,,EBE3D5,8,False,734881840,17,2436,3,17688,lateral (superficial) part of 6Sp,,,12,17686,lateral (superficial) part of 6Sp,12336,12,/15564/15565/17651/17653/17677/17679/17682/17686/17688/,1590148061,8390
121,CA1sp,,D93D56,13,False,734881840,17,589,3,16133,"Field CA1, stratum pyramidale",,,12,16131,Field CA1 stratum pyramidale,10489,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/16126/16130/16131/16133/,564487311,8390
122,TC-6b,,F32F4F,13,False,734881840,17,509,3,16057,sublayer 6b of TCx,,,12,16055,sublayer 6b of TCx,10409,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16044/16046/16049/16055/16057/,3104956232,8390
123,CeCv,,D4CCC0,8,False,734881840,17,2452,3,17702,central cervical nucleus,,,12,17699,central cervical nucleus,12352,12,/15564/15565/17651/17692/17693/17695/17698/17699/17702/,3955538708,8390
124,fi,,CCCCCC,2,False,734881840,17,2523,3,17766,fimbria,,,12,17735,fimbria,12423,12,/15564/17735/17766/,1937983833,8390
125,5Te,,F29EFF,10,False,734881840,17,1602,3,17046,temporal muscle trigeminal motor cell group,,,12,17045,temporal muscle trigeminal motor cell group,11502,12,/15564/15565/16808/16809/17023/17025/17042/17044/111220672/17045/17046/,2020345341,8390
126,Med,,F070FF,10,False,734881840,17,1327,3,16823,medial (fastigial) cerebellar nucleus,,,12,16822,medial (fastigial) cerebellar nucleus,11227,12,/15564/15565/16808/16809/16810/16813/16814/16818/16821/16822/16823/,1469887436,8390
127,5Pt,,F29EFF,10,False,734881840,17,1604,3,17048,pterigoid muscle trigeminal motor cell group,,,12,17045,pterigoid muscle trigeminal motor cell group,11504,12,/15564/15565/16808/16809/17023/17025/17042/17044/111220672/17045/17048/,3250285509,8390
128,bic,,CCCCCC,2,False,734881840,17,2510,3,17753,brachium of inferior colliculus,,,12,17735,brachium of inferior colliculus,12410,12,/15564/17735/17753/,4229637645,8390
129,VMHsh,,975C34,11,False,734881840,17,117,3,15679,shell of VMH,,,12,15675,shell of VMH,10017,12,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/15679/,494266702,8390
130,icc,,CCCCCC,2,False,734881840,17,2528,3,17771,intercollicular commissure,,,12,17735,intercollicular commissure,12428,12,/15564/17735/17771/,939693443,8390
