,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
16,Th,,FFF189,5,False,734881840,17,845,3,16376,thalamus,,,12,16375,thalamus,10745,4,/15564/15565/15566/16308/16375/16376/,853172498,8390
17,v_MTg,,128F12,4,False,734881840,17,2612,3,126651742,"ventricles, m1 (rostral) midbrain tegmentum",,,12,126651726,ventricles m1 (rostral) midbrain tegmentum,12512,4,/15564/126651558/126651722/126651726/126651742/,1010133491,8390
18,PThTg,,CCC383,5,False,734881840,17,820,3,16352,prethalamic tegmentum,,,12,16309,prethalamic tegmentum,10720,4,/15564/15565/15566/16308/16309/16352/,3794675074,8390
19,v_POTel,,A84D10,5,False,734881840,17,2570,3,126651574,"ventricles, preoptic telencephalon",,,12,126651570,ventricles preoptic telencephalon,12470,4,/15564/126651558/126651562/126651566/126651570/126651574/,4158684067,8390
20,v_PHy,,DF7257,5,False,734881840,17,2581,3,126651618,"ventricles, peduncular (caudal) hypothalamus",,,12,126651602,ventricles peduncular (caudal) hypothalamus,12481,4,/15564/126651558/126651562/126651566/126651602/126651618/,1174595632,8390
21,v_PIsTt,,00D100,4,False,734881840,17,2616,3,126651758,"ventricles, preisthmic midbrain tectum",,,12,126651754,ventricles preisthmic midbrain tectum,12516,4,/15564/126651558/126651722/126651754/126651758/,1780459302,8390
22,MTt,,17B317,4,False,734881840,17,1134,3,16651,collicular (rostral) midbrain tectum,,,12,16650,collicular (rostral) midbrain tectum,11034,4,/15564/15565/16649/16650/16651/,1958878343,8390
23,v_Th,,FFF189,5,False,734881840,17,2594,3,126651670,"ventricles, thalamus",,,12,126651666,ventricles thalamus,12494,4,/15564/126651558/126651562/126651634/126651666/126651670/,4269354639,8390
24,Tel,,ED985C,5,False,734881840,17,177,3,15739,telencephalic vesicle,,,12,15738,telencephalic vesicle,10077,4,/15564/15565/15566/15567/15738/15739/,3542820502,8390
25,POTel,,A84D10,5,False,734881840,17,5,3,15569,preoptic telencephalon,,,12,15568,preoptic telencephalon,9905,4,/15564/15565/15566/15567/15568/15569/,2617066679,8390
26,v_PThTg,,CCC383,5,False,734881840,17,2590,3,126651654,"ventricles, prethalamic tegmentum",,,12,126651638,ventricles prethalamic tegmentum,12490,4,/15564/126651558/126651562/126651634/126651638/126651654/,4186234070,8390
27,MTg,,128F12,4,False,734881840,17,1212,3,16725,m1 (rostral) midbrain tegmentum,,,12,16650,m1 (rostral) midbrain tegmentum,11112,4,/15564/15565/16649/16650/16725/,3905620336,8390
